GROUP_NAME,MIN,NET_RATING,OFF_RATING,DEF_RATING,AST_PCT,OPP_TOV_PCT,PACE,NET_RATING_z,AST_PCT_z,OPP_TOV_PCT_z,CHEMISTRY_SCORE
R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,245.3,12.7,123.8,111.1,0.6,0.13,100.58,0.62739296981386,-0.5371660187669456,-0.3304280222295195,0.08646107483094241
M. Porter Jr. - T. Mann - N. Claxton - N. Clowney - E. Dëmin,181.1,1.3,116.7,115.4,0.75,0.125,99.93,-0.1774083584085662,1.688181010199423,-0.4980364393024646,0.31814283599505083
N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels - Z. Risacher,179.3,4.9,118.3,113.4,0.74,0.153,109.22,0.07673942945114733,1.539824541601665,0.44057069630602697,0.5884312164672785
G. Antetokounmpo - M. Turner - G. Trent Jr. - R. Rollins - A. Green,166.7,-9.6,114.5,124.1,0.599,0.106,99.79,-0.9469113827615877,-0.5520016656267215,-1.1349484241796555,-0.8660458759047414
B. Ingram - J. Poeltl - R. Barrett - I. Quickley - S. Barnes,165.9,5.0,121.5,116.6,0.679,0.163,104.74,0.08379909022502824,0.6348500831553427,0.7757875304519171,0.38751207614950034
A. Gordon - N. Jokić - J. Murray - C. Johnson - C. Braun,159.4,11.9,119.2,107.2,0.649,0.123,100.26,0.5709156836228125,0.18978067736206866,-0.5650798061316427,0.2293760837936983
K. Durant - J. Okogie - A. Sengun - J. Smith Jr. - A. Thompson,155.4,13.3,124.0,110.7,0.605,0.19,99.43,0.6697509344571456,-0.4629877844680666,1.6808729826458195,0.5321537284173168
J. Nurkić - L. Markkanen - S. Mykhailiuk - K. George - A. Bailey,151.4,-3.0,113.6,116.6,0.759,0.124,107.29,-0.48097377168544625,1.8217018319374052,-0.5315581227170536,0.1997120391950877
J. Harden - K. Leonard - K. Dunn - I. Zubac - J. Collins,150.0,-3.7,113.4,117.1,0.612,0.168,99.87,-0.5303913971026128,-0.359138256449636,0.9433959475248622,-0.18425798598122475
T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,148.0,10.4,116.0,105.6,0.61,0.158,105.07,0.46502077201459857,-0.3888095501691876,0.608179113378972,0.23750334363233744
N. Jokić - J. Murray - C. Johnson - P. Watson - S. Jones,136.9,20.8,137.3,116.5,0.651,0.123,98.88,1.1992254924982155,0.21945197108162026,-0.5650798061316427,0.5524323763472653
J. Brown - D. White - N. Queta - P. Pritchard - J. Walsh,127.5,14.6,118.5,103.9,0.55,0.122,95.81,0.7615265245175976,-1.278948361755734,-0.5986014895462316,-0.12264154417716772
K. Porziņģis - N. Alexander-Walker - J. Johnson - D. Daniels - Z. Risacher,126.9,7.3,121.4,114.0,0.68,0.115,105.72,0.24617128802428964,0.6496857300151185,-0.8332532734483543,0.15134070832700947
J. Holiday - D. Avdija - S. Sharpe - T. Camara - D. Clingan,120.4,0.7,114.3,113.6,0.643,0.151,105.81,-0.21976632305185184,0.10076679620341385,0.3735273294768489,-0.0049476567695319745
W. Carter Jr. - D. Bane - F. Wagner - J. Suggs - P. Banchero,117.0,18.0,122.6,104.6,0.628,0.153,107.11,1.0015549908295494,-0.12176790669322318,0.44057069630602697,0.5523612626680131
M. Turner - K. Kuzma - G. Trent Jr. - R. Rollins - A. Green,112.6,-6.0,102.5,108.5,0.611,0.153,104.68,-0.6927635949018742,-0.3739739033094118,0.44057069630602697,-0.37045982918255527
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - C. Wallace,112.2,18.3,123.6,105.2,0.626,0.201,97.94,1.0227339731511922,-0.15143920041277478,2.0496115002062987,0.8758575264930234
H. Barnes - D. Fox - L. Kornet - D. Vassell - J. Champagnie,111.8,6.4,116.0,109.5,0.584,0.129,104.13,0.1826343410593613,-0.7745363685233585,-0.3639497056441085,-0.2138336811561486
K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,110.4,17.0,134.7,117.7,0.567,0.14,94.31,0.9309583830907401,-1.026742365139547,0.004788811916370657,0.15841424438678006
H. Barnes - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,110.1,11.7,115.6,103.9,0.642,0.147,102.19,0.5567963620750506,0.08593114934363805,0.23944059581849284,0.35206564500431525
J. Jackson Jr. - V. Williams Jr. - Z. Edey - J. Wells - C. Coward,101.5,13.1,111.7,98.6,0.615,0.107,100.95,0.6556316129093837,-0.3146313158703086,-1.1014267407650664,0.013141063540585946
W. Carter Jr. - D. Bane - F. Wagner - J. Suggs - T. da Silva,98.3,-9.1,106.0,115.1,0.616,0.142,106.41,-0.911613078892183,-0.2997956690105328,0.07183217874554776,-0.5313788044001417
N. Alexander-Walker - O. Okongwu - V. Krejčí - J. Johnson - D. Daniels,94.1,4.8,101.5,96.7,0.667,0.186,105.33,0.06967976867726636,0.4568223208380331,1.5467862489874635,0.4812438303875358
J. Brown - D. White - N. Queta - P. Pritchard - J. Minott,91.6,7.9,115.3,107.4,0.61,0.168,97.75,0.2885292526675753,-0.3888095501691876,0.9433959475248622,0.21630095078800382
A. Wiggins - N. Powell - D. Mitchell - P. Larsson - K. Ware,89.6,-7.1,118.5,125.6,0.596,0.116,106.86,-0.7704198634145644,-0.5965086062060488,-0.7997315900337653,-0.7241088315758499
R. Westbrook - D. DeRozan - D. Schröder - Z. LaVine - D. Sabonis,89.1,-17.9,101.5,119.4,0.639,0.102,106.15,-1.5328632269937048,0.04142420876431064,-1.2690351578380115,-1.0078113824351616
R. Westbrook - D. DeRozan - Z. LaVine - K. Murray - M. Raynaud,84.0,9.6,121.7,112.2,0.62,0.122,104.24,0.4085434858235511,-0.24045308157142958,-0.5986014895462316,0.012415520531100344
D. Mitchell - D. Hunter - D. Garland - E. Mobley - J. Tyson,83.9,-17.5,109.5,127.0,0.662,0.118,102.08,-1.5046245838981813,0.3826440865391541,-0.7326882232045877,-0.784056710628262
K. Caldwell-Pope - J. Jackson Jr. - J. Landale - J. Morant - J. Wells,81.9,-12.2,101.7,114.0,0.687,0.14,101.73,-1.1304625628824918,0.7535352580335491,0.004788811916370657,-0.33821294164790705
S. Bey - H. Jones - T. Murphy III - J. Fears - D. Queen,79.7,7.8,113.8,106.0,0.622,0.158,107.46,0.2814695918936943,-0.21078178785187798,0.608179113378972,0.19913608226707818
M. Smart - D. Ayton - L. Dončić - R. Hachimura - A. Reaves,79.6,13.5,114.6,101.1,0.582,0.178,106.13,0.6838702560049075,-0.8042076622429101,1.2786127816707513,0.35639538566373097
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,77.1,21.5,127.9,106.4,0.722,0.134,107.09,1.2486431179153819,1.2727828981257006,-0.19634128857116345,0.9668881706811685
W. Carter Jr. - D. Bane - F. Wagner - P. Banchero - A. Black,76.6,-6.3,108.4,114.7,0.576,0.141,103.41,-0.7139425772235171,-0.8932215434015649,0.038310495330958746,-0.6172756525660362
L. James - D. Ayton - L. Dončić - R. Hachimura - A. Reaves,76.5,-13.1,107.6,120.7,0.548,0.098,104.8,-1.1939995098474203,-1.3086196554752856,-1.403121891496367,-1.2702100298655692
K. Durant - S. Adams - A. Sengun - J. Smith Jr. - A. Thompson,75.8,2.8,111.6,108.8,0.41,0.122,93.45,-0.07151344680035226,-3.3559389221243454,-0.5986014895462316,-1.1622586979467262
B. Ingram - J. Poeltl - I. Quickley - S. Barnes - J. Walter,74.9,5.1,114.5,109.4,0.662,0.125,102.18,0.09085875099890914,0.3826440865391541,-0.4980364393024646,0.06061531360070786
N. Vučević - I. Okoro - T. Jones - J. Giddey - M. Buzelis,73.9,-13.0,102.5,115.5,0.77,0.087,104.22,-1.1869398490735394,1.984893947394939,-1.7718604090568464,-0.35237382212965734
A. Wiggins - D. Smith - N. Jović - J. Jaquez Jr. - S. Fontecchio,71.7,3.5,108.5,104.9,0.683,0.117,109.45,-0.022095821383185735,0.6941926705944459,-0.7662099066191762,0.04396790916290563
J. Valančiūnas - T. Hardaway Jr. - J. Murray - B. Brown - P. Watson,71.5,-5.1,114.3,119.4,0.54,0.103,101.37,-0.6292266479369458,-1.427304830353492,-1.2355134744234224,-0.989907467959205
D. Booker - R. O'Neale - G. Allen - M. Williams - R. Dunn,71.5,14.0,110.1,96.1,0.636,0.187,105.11,0.719168559874312,-0.0030827318150167655,1.5803079324020526,0.6747210468730616
K. Middleton - C. McCollum - A. Sarr - B. Carrington - K. George,71.0,-8.0,115.4,123.4,0.642,0.11,104.8,-0.8339568103794928,0.08593114934363805,-1.0008616905212995,-0.5913713984909149
A. Wiggins - N. Powell - B. Adebayo - T. Herro - D. Mitchell,70.9,12.5,122.0,109.4,0.586,0.138,109.27,0.6132736482660981,-0.7448650748038068,-0.062254554912807375,0.07072639070934554
K. Caldwell-Pope - J. Landale - S. Aldama - C. Spencer - J. Wells,68.3,0.7,128.6,127.9,0.667,0.143,100.92,-0.21976632305185184,0.4568223208380331,0.10535386216013677,0.048234307157511355
M. Conley - R. Gobert - J. Randle - D. DiVincenzo - J. McDaniels,66.3,20.6,127.0,106.3,0.705,0.12,102.52,1.1851061709504536,1.0205769015095119,-0.6656448563754097,0.7655971846529984
J. Harden - K. Dunn - I. Zubac - J. Collins - K. Sanders,65.6,9.5,121.4,111.9,0.583,0.098,103.54,0.4014838250496702,-0.7893720153831343,-1.403121891496367,-0.3166940703893786
M. Bridges - C. Sexton - R. Kalkbrenner - K. Knueppel - S. James,65.2,3.9,115.8,111.9,0.677,0.091,103.81,0.006142821712337983,0.6051787894357911,-1.6377736753984902,-0.14292968739279177
S. Curry - J. Butler III - D. Green - J. Kuminga - B. Podziemski,64.5,16.9,119.7,102.8,0.759,0.184,105.27,0.923898722316859,1.8217018319374052,1.4797428821582854,1.3044084871713082
J. Harden - K. Dunn - I. Zubac - D. Jones Jr. - J. Collins,64.0,-2.5,108.8,111.4,0.509,0.129,100.43,-0.4456754678160416,-1.887209883006542,-0.3639497056441085,-0.8617906399388051
J. Grant - D. Avdija - S. Cissoko - T. Camara - D. Clingan,63.9,3.8,124.3,120.4,0.649,0.153,102.56,-0.0009168390615429549,0.18978067736206866,0.44057069630602697,0.1445899229390545
P. Siakam - A. Nembhard - J. Huff - E. Thompson - B. Mathurin,63.1,-3.1,107.0,110.1,0.689,0.14,98.08,-0.48803343245932723,0.7832065517530991,0.004788811916370657,-0.008096988320459773
K. Durant - A. Sengun - J. Smith Jr. - A. Thompson - R. Sheppard,63.1,6.6,115.5,108.9,0.574,0.126,105.37,0.1967536626071231,-0.9228928371211165,-0.46451475588787555,-0.2713939710103485
J. Harden - K. Leonard - B. Beal - I. Zubac - D. Jones Jr.,62.9,-10.9,120.9,131.8,0.581,0.116,98.44,-1.0386869728220398,-0.8190433091026859,-0.7997315900337653,-0.9250027971485787
D. Robinson - I. Stewart - C. Cunningham - J. Duren - A. Thompson,62.3,7.7,119.5,111.8,0.613,0.134,98.25,0.2744099311198134,-0.3443026095898602,-0.19634128857116345,-0.005354075031284065
P. Washington - D. Gafford - B. Williams - M. Christie - C. Flagg,61.5,-1.1,117.8,118.9,0.534,0.152,101.85,-0.3468402169817086,-1.5163187115121468,0.4070490128914379,-0.5469059193662108
K. Middleton - C. McCollum - B. Coulibaly - A. Sarr - K. George,61.2,-9.9,103.2,113.1,0.733,0.146,100.34,-0.9680903650832305,1.4359750135832343,0.20591891240390384,-0.012068895985864227
J. Butler III - D. Green - M. Moody - B. Podziemski - Q. Post,61.2,4.1,103.3,99.2,0.738,0.136,97.33,0.020262143260099827,1.5101532478821134,-0.1292979217419854,0.4373174616462868
D. Booker - R. O'Neale - D. Brooks - M. Williams - C. Gillespie,61.0,-2.9,100.0,102.9,0.6,0.144,107.03,-0.4739141109115653,-0.5371660187669456,0.13887554557472578,-0.37033175197092116
N. Vučević - K. Huerter - I. Okoro - J. Giddey - M. Buzelis,60.3,6.1,109.1,103.0,0.611,0.097,105.9,0.16145535873771846,-0.3739739033094118,-1.436643574910956,-0.3187932066061555
G. Antetokounmpo - M. Turner - K. Kuzma - R. Rollins - A. Green,59.3,44.6,143.8,99.2,0.625,0.12,99.62,2.879424756681877,-0.1662748472725506,-0.6656448563754097,1.2567009528840916
J. Brown - D. White - N. Queta - P. Pritchard - S. Hauser,59.0,36.7,132.8,96.1,0.547,0.178,103.29,2.3217115555452836,-1.3234553023350615,1.2786127816707513,1.0195417434062737
T. Hardaway Jr. - N. Jokić - J. Murray - B. Brown - P. Watson,58.8,1.1,131.6,130.5,0.719,0.109,106.51,-0.19152767995632808,1.228275957546373,-1.0343833739358883,0.06584227249857019
R. Westbrook - D. DeRozan - Z. LaVine - D. Eubanks - K. Murray,56.5,-28.8,87.7,116.5,0.535,0.157,103.16,-2.3023662513467267,-1.5014830646523711,0.574657429964383,-1.486696559076198
K. Looney - S. Bey - H. Jones - T. Murphy III - J. Fears,56.3,-10.0,99.2,109.2,0.533,0.192,102.37,-0.9751500258571114,-1.5311543583719227,1.7479163494749976,-0.597338050545133
S. Bey - T. Murphy III - B. McGowens - J. Fears - D. Queen,55.6,-23.8,111.5,135.4,0.63,0.123,112.18,-1.94938321265268,-0.09209661297367158,-0.5650798061316427,-1.1153365514447702
S. Curry - J. Butler III - D. Green - M. Moody - W. Richard,55.4,13.8,122.2,108.4,0.765,0.168,102.27,0.7050492383265503,1.91071571309606,0.9433959475248622,1.1144185225970655
G. Bitadze - F. Wagner - J. Suggs - A. Black - T. da Silva,55.3,32.8,121.7,88.9,0.661,0.198,110.59,2.046384785363927,0.36780843967937826,1.9490464499625317,1.5233442145782832
D. Mitchell - J. Allen - D. Hunter - S. Merrill - E. Mobley,54.5,-1.1,114.2,115.3,0.646,0.11,104.82,-0.3468402169817086,0.14527373678274125,-1.0008616905212995,-0.33001032556029186
M. Porter Jr. - N. Claxton - T. Martin - N. Clowney - E. Dëmin,54.4,-3.4,117.9,121.2,0.646,0.142,99.19,-0.50921241478097,0.14527373678274125,0.07183217874554776,-0.19665765060655307
K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,54.0,-1.0,111.1,112.1,0.653,0.121,103.57,-0.3397805562078276,0.24912326480117186,-0.6321231729608207,-0.2215779332557264
D. Booker - R. O'Neale - D. Brooks - G. Allen - M. Williams,52.7,10.4,127.2,116.8,0.617,0.159,103.45,0.46502077201459857,-0.284960022150757,0.6417007967935611,0.2753625387207844
N. Batum - J. Harden - K. Dunn - I. Zubac - J. Collins,52.7,-24.1,100.9,125.0,0.632,0.13,98.44,-1.9705621949743228,-0.062425319254119975,-0.3304280222295195,-1.0700942977093013
M. Smart - D. Ayton - L. Dončić - R. Hachimura - J. LaRavia,51.6,-12.5,110.2,122.7,0.69,0.191,101.45,-1.1516415452041346,0.7980421986128748,1.7143946660604086,0.006470820193876847
D. Ayton - L. Dončić - R. Hachimura - G. Vincent - A. Reaves,51.3,-8.0,125.7,133.6,0.625,0.093,100.96,-0.8339568103794928,-0.1662748472725506,-1.5707303085693123,-0.7810069210853741
M. Porter Jr. - T. Mann - N. Claxton - C. Thomas - B. Saraf,51.0,-19.5,116.5,136.0,0.596,0.153,103.53,-1.6458177993757999,-0.5965086062060488,0.44057069630602697,-0.9137473422885093
L. Markkanen - S. Mykhailiuk - W. Kessler - K. George - K. Filipowski,50.9,31.7,135.6,103.9,0.653,0.194,97.53,1.968728516851237,0.24912326480117186,1.8149597163041757,1.4220931811268054
A. Wiggins - N. Powell - B. Adebayo - D. Mitchell - P. Larsson,50.6,37.5,141.3,103.8,0.75,0.229,99.1,2.3781888417363306,1.688181010199423,2.9882186358147904,2.2931924510909503
H. Barnes - D. Fox - D. Vassell - V. Wembanyama - S. Castle,50.0,8.9,110.7,101.9,0.767,0.12,105.68,0.3591258604063846,1.9403870068156117,-0.6656448563754097,0.6285500609727938
